longitude,latitude,label,red_mean,red_std,red_min,red_max,red_p10,red_p90,red_amp,nir_mean,nir_std,nir_min,nir_max,nir_p10,nir_p90,nir_amp,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_p10,ndvi_p90,ndvi_amp
-59.93995256391834,-6.084669874158111,Disturbio,0.06899176277669453,0.03584357544480528,0.024800000000000003,0.1354,0.02779999565416951,0.1172960147705962,0.11059999999999999,0.24223090498754493,0.054584793408908774,0.157,0.3408,0.17059999161415296,0.30209998946653627,0.1838,0.5489084246378855,0.2284353619446602,0.25645249862712804,0.8433849068519104,0.30015994062432627,0.821794903070416,0.5869324082247823
-59.94670746745433,-6.146252808580875,Disturbio,0.028484882835510525,0.017683402881837906,0.013399999999999995,0.0988,0.014799999635000298,0.03850000771481811,0.0854,0.2899325753752704,0.04980663390332033,0.17090000000000002,0.3712,0.25060000937735194,0.35354995053498417,0.20029999999999995,0.8282419988040904,0.0861852031598635,0.46594594594594596,0.8900602409638554,0.7695229562052923,0.8893714946516924,0.4241142950179094
-59.9402939704728,-6.1000203987170885,Disturbio,0.0817824552934739,0.04070899895234821,0.029700000000000004,0.19360000000000002,0.04564000000000001,0.12916000000000002,0.16390000000000002,0.2541461422711597,0.036675071716011615,0.17690000000000003,0.34330000000000005,0.21129989976232813,0.2906999876792926,0.16640000000000002,0.5212871692325532,0.20311695335279106,0.08700778118368306,0.8407506702412869,0.28056965231343006,0.6855947397519978,0.7537428890576039
-59.96811097725735,-6.07994905912045,Disturbio,0.028747566278092402,0.006845441461929848,0.021599999999999994,0.0514,0.022250000348333084,0.0361428682648811,0.029800000000000007,0.32007724749091304,0.028714505490454727,0.28080000000000005,0.3748,0.2862499900537581,0.3645142854622445,0.09399999999999997,0.8366037519042392,0.02438701557850927,0.7412534608608105,0.8634512997181335,0.8107315301551159,0.8574233121638895,0.12219783885732305
-59.96074187707176,-6.097295719107795,Disturbio,0.03921555231203134,0.005818993197290781,0.029200000000000004,0.05560000000000001,0.0345999996621157,0.04848995405948241,0.026400000000000007,0.30391054416383134,0.042778201160176645,0.25160000000000005,0.3903,0.26027999195148654,0.36289999527457567,0.13869999999999993,0.768124711365559,0.041540982923432196,0.665161096055405,0.8607866507747318,0.7288877079691477,0.8172258328764501,0.19562555471932686
-59.95097495472726,-6.116141361961186,Disturbio,0.03162306693148975,0.010325413385440572,0.020900000000000002,0.06920000000000001,0.023150002504375405,0.0370200215669973,0.04830000000000001,0.3272982196888788,0.042277308172961096,0.2711,0.39960000000000007,0.28439998523124876,0.38839997863792985,0.12850000000000006,0.8250916900730225,0.05550746682384331,0.5933000293858359,0.8700199203187251,0.7877580422008684,0.8538247811252332,0.2767198909328892
-59.96025900162426,-6.115078000546673,Disturbio,0.02847937970508803,0.013188605839305015,0.017100000000000004,0.0865,0.018409997634305064,0.043345716832400655,0.06939999999999999,0.2558910870479253,0.03753651389690876,0.21380000000000002,0.32830000000000004,0.21730000000000002,0.3013857136262064,0.11450000000000002,0.8063721503548461,0.055600375094014824,0.545335085413929,0.860235003092146,0.7468354919586662,0.8452690355072516,0.3148999176782169
-59.946425835105096,-6.0845073358129875,Disturbio,0.062470809471093236,0.029999223463453052,0.021500000000000005,0.1432,0.024159999946419722,0.09380003584928936,0.12169999999999999,0.22669162478076366,0.04053261684482329,0.1504,0.3015,0.18547144411076594,0.29361998676735174,0.15109999999999998,0.5627119887847948,0.20622311338924415,0.18912797281993207,0.8668730650154798,0.30669018727878855,0.8454596499850674,0.6777450921955477
-59.95952959123102,-6.121832738465448,Disturbio,0.03439482107322372,0.026696571508889398,0.017299999999999996,0.1808,0.019200000000000002,0.04578571778954453,0.16349999999999998,0.3316291303030159,0.039399890258102886,0.2286,0.39960000000000007,0.29490000382963144,0.379622633006297,0.17100000000000007,0.8214442665836704,0.09577670189800311,0.34587554269175114,0.8974206937444412,0.7663971551712615,0.8895076878289477,0.5515451510526901
-59.94322022903013,-6.07861225563591,Disturbio,0.0631975583219899,0.02487913995947959,0.03989999999999999,0.1318,0.042000001930555725,0.09477143131387285,0.09190000000000001,0.1699194203262486,0.035394313774513915,0.11930000000000002,0.2884,0.13229996211948447,0.2112400140575857,0.16909999999999997,0.46229232882348725,0.16398988099564116,0.21150278293135438,0.6718027734976888,0.2248015088833319,0.6389338112251731,0.4602999905663344
-59.95159867852441,-6.122853314727946,Disturbio,0.030796210334681655,0.015772543612165995,0.018500000000000003,0.09640000000000001,0.021379999550555914,0.03926004100099486,0.07790000000000001,0.29443703203767374,0.030948871738029286,0.2573,0.34830000000000005,0.26230002417332915,0.34242499340959903,0.09100000000000008,0.8179418597615583,0.061660021979985484,0.566449291657297,0.8836843759823954,0.7872299832010686,0.8548308280398015,0.3172350843250984
-59.949164302677914,-6.142970990947558,Disturbio,0.03313288106964934,0.02117522387130029,0.014799999999999994,0.11460000000000001,0.01910000038629605,0.04869602256780481,0.09980000000000001,0.3526687687411841,0.03476772408696189,0.2241,0.41890000000000005,0.32249971805641814,0.38266001117400006,0.19480000000000006,0.8348252380570886,0.08883319599458074,0.4756348661633493,0.8961674368034792,0.7757574638065353,0.8944519394783418,0.4205325706401299
